ts	imei	mwra	c.katana	c.dogalize	c.android.youtube	c.android.chrome	c.android.gm	c.raider	c.UCMobile.x86	c.updateassist	c.UCMobile.intl	c.android.vending
2018-05-05 10:00:00	8630330696303481172	1.00000	9.29393	9.65293	9.18203	7.64836	14.61376	47.82024	54.33564	62.35464	72.81987	11.24912
2018-05-05 10:01:00	3590433799317662097	0.00000	9.87107	6.65895	10.84119	9.05362	11.03129	35.76535	48.01631	64.58400	9.11802	31.03623
2018-05-05 10:02:00	3590433799317661123	0.00000	15.31239	5.01324	10.87556	6.65091	13.41425	57.80452	68.35074	23.34476	86.06474	45.28060
2018-05-05 10:03:00	8630330696303481909	1.00000	8.23151	9.76082	9.77154	9.98477	14.15220	51.48972	87.82917	37.14845	91.60321	64.76852
2018-05-05 10:04:00	8630330696303481701	1.00000	8.02947	10.25168	6.63390	6.77049	10.60092	30.43476	92.26847	68.27938	89.99798	15.42470
2018-05-05 10:05:00	8630330696303481867	0.00000	13.09791	6.49122	8.62495	9.08210	8.37155	50.25585	39.53012	99.44072	74.61980	35.00155
2018-05-05 10:06:00	8630330696303481644	0.00000	12.24286	7.98005	12.72187	14.53238	6.02181	62.57564	13.83252	48.19682	14.39367	51.43899
2018-05-05 10:07:00	359043379931766809	1.00000	12.86602	7.53478	9.96372	12.06891	15.43910	47.93617	80.77415	43.90622	62.01124	29.13568
2018-05-05 10:08:00	359043379931766601	0.00000	10.66250	4.82436	9.47344	9.24345	5.42205	42.60872	73.81426	16.37436	54.11958	28.40039
2018-05-05 10:09:00	3590433799317661982	1.00000	10.28247	11.74092	12.20993	8.80567	8.97024	58.09674	59.39749	64.51027	45.55487	36.53484
2018-05-05 10:10:00	3590433799317661883	0.00000	10.29419	8.20498	12.44156	10.39899	7.20810	22.48298	48.56641	94.80478	21.57864	86.97895
2018-05-05 10:11:00	3590433799317661040	1.00000	10.80614	11.43070	9.90174	10.75708	11.94945	59.06582	13.93400	44.88970	96.53639	78.95860
2018-05-05 10:12:00	8630330696303481008	1.00000	12.30302	11.00231	9.11370	10.62017	10.70592	55.65322	48.30718	10.79949	47.74182	18.54960
2018-05-05 10:13:00	8630330696303481511	1.00000	8.71975	12.46806	8.75979	8.45740	11.98502	57.39106	89.90605	62.96993	79.29758	59.40410
2018-05-05 10:14:00	359043379931766304	1.00000	12.03228	14.38653	11.72504	11.05455	9.88527	28.34521	30.86319	8.55881	88.26260	67.20416
2018-05-05 10:15:00	8630330696303481875	0.00000	11.36760	7.76683	9.19840	11.63731	14.12801	45.18086	6.85473	88.73718	60.32527	66.76720
2018-05-05 10:16:00	8630330696303481065	1.00000	5.95008	11.67582	8.02212	11.44360	14.75274	50.16540	16.67699	37.82093	30.50363	18.16937
2018-05-05 10:17:00	3590433799317661669	0.00000	9.61509	4.25621	10.10651	11.41931	10.71153	47.12792	46.59975	57.20702	28.13164	29.99976
2018-05-05 10:18:00	8630330696303481628	0.00000	13.47576	9.69282	10.24767	12.34911	12.73355	73.82010	92.85593	67.09135	19.36714	68.38943
2018-05-05 10:19:00	3590433799317661537	1.00000	14.48678	9.79712	10.68989	7.54217	12.60155	55.97108	35.19895	63.75169	6.56677	80.33727
2018-05-05 10:20:00	8630330696303481602	0.00000	11.31695	5.75253	14.35627	6.59921	11.85224	41.77814	54.95089	72.82827	71.92689	89.39577
2018-05-05 10:21:00	863033069630348610	1.00000	12.24365	13.11096	8.91250	4.61108	12.17877	70.16353	70.01439	71.59506	40.03091	17.80476
2018-05-05 10:22:00	863033069630348115	1.00000	6.97616	12.80107	5.69255	7.12297	8.69864	63.21364	22.28574	62.44629	70.08114	74.88019
