ts	imei	mwra	p.system	p.android.gm	p.android.settings	p.android.chrome	p.android.packageinstaller	p.android.documentsui	p.android.externalstorage	p.android.vending	p.olauncher	p.android.defcontainer	p.dogalize	p.browser.provider	p.notifier	p.gms.persistent	p.inputmethod.latin	p.katana	p.google	p.process.gapps	p.android.gms	p.simulator
2018-05-05 10:00:00	8630330696303481172	1.00000	10.85162	5.76758	12.23591	13.47511	15.75761	7.84882	10.31012	42.70727	0.00036	52.81568	53.39714	48.75442	57.61393	62.34198	54.36855	70.29131	77.50615	81.28121	71.85749	9.12899
2018-05-05 10:01:00	3590433799317662097	0.00000	11.19103	11.05400	6.73356	9.66098	11.64789	13.19432	7.79902	61.85010	0.02090	54.87844	38.19170	43.23944	64.95890	4.65765	58.14930	41.15580	79.63176	92.37950	10.43540	61.58344
2018-05-05 10:02:00	3590433799317661123	0.00000	10.13556	8.68557	7.66270	9.71330	12.86800	10.82623	6.12165	52.05189	0.00254	38.25203	34.04061	73.33044	63.96102	43.23826	48.85930	13.37236	86.74975	88.53951	32.99274	63.99667
2018-05-05 10:03:00	8630330696303481909	1.00000	7.20268	6.00790	10.73122	10.83178	14.65533	8.63345	12.01726	32.77133	0.00045	55.84553	63.82486	34.79186	72.32636	98.03954	99.86546	97.03455	4.55653	75.56993	21.74111	9.71695
2018-05-05 10:04:00	8630330696303481701	1.00000	9.63418	9.27475	10.71554	15.98658	16.01235	7.17058	11.39136	48.56554	0.00376	77.38984	39.13822	52.84187	72.66790	84.47463	50.03377	75.08935	82.13932	23.30607	47.49774	81.93135
2018-05-05 10:05:00	8630330696303481867	0.00000	11.71119	11.94494	8.03525	10.69338	14.47540	9.59079	9.54822	66.31668	0.05033	60.97759	66.62737	40.03335	84.63391	46.27703	63.65940	45.63306	47.29184	68.41352	57.58961	96.19192
2018-05-05 10:06:00	8630330696303481644	0.00000	13.67046	6.85274	8.45733	8.01780	13.99803	13.14374	9.83709	36.53359	0.00069	48.34888	51.24297	45.86352	88.62918	21.27484	50.06752	44.69989	74.39627	31.18477	68.40035	5.60453
2018-05-05 10:07:00	359043379931766809	1.00000	8.93373	9.31103	10.32463	12.14093	13.01408	8.03504	8.20456	39.05374	0.00405	52.46956	58.44349	55.34528	27.62228	57.43346	19.56568	62.66988	79.23846	44.15400	0.32778	68.42194
2018-05-05 10:08:00	359043379931766601	0.00000	11.04105	9.79873	9.68536	8.93870	12.24734	10.56221	12.44178	41.82978	0.00621	46.15844	47.07472	37.76995	94.09668	49.76025	40.93459	30.36259	27.76181	96.18687	26.61111	90.99606
2018-05-05 10:09:00	3590433799317661982	1.00000	8.34610	7.55178	14.38575	7.87510	13.04011	5.21485	7.12699	61.54117	0.00108	81.49146	52.96305	48.99906	48.33668	85.54559	97.18003	85.69587	18.85817	93.85952	99.86491	89.21825
2018-05-05 10:10:00	3590433799317661883	0.00000	13.61379	5.73914	8.83230	6.79528	12.19775	12.58613	11.38868	55.53003	0.00059	55.96488	39.26955	34.67041	28.08136	7.19124	97.98219	55.52645	5.80873	87.13338	47.53841	39.91695
2018-05-05 10:11:00	3590433799317661040	1.00000	8.77009	7.93587	10.47643	8.21633	11.07246	7.20531	7.91534	17.38203	0.00137	46.51118	68.27616	34.83744	23.07154	66.35531	67.45016	3.78405	40.13565	19.27231	39.65863	75.44753
2018-05-05 10:12:00	8630330696303481008	1.00000	8.93658	7.41142	8.56211	9.94661	12.24064	6.31685	7.32999	55.83574	0.00089	62.50491	34.51772	47.05766	56.84152	53.32095	84.59010	77.94985	67.13279	76.41526	31.91541	60.20119
2018-05-05 10:13:00	8630330696303481511	1.00000	8.85304	9.33641	7.50583	10.85899	10.42388	10.39956	13.56753	77.81539	0.00433	55.19104	18.03622	68.78650	51.40607	14.02435	15.67491	51.88859	39.96456	52.05092	81.72584	32.78083
2018-05-05 10:14:00	359043379931766304	1.00000	8.67634	7.03238	11.39965	7.75174	12.06983	7.43364	7.54115	59.65625	0.00075	54.59934	49.71867	53.16649	20.70216	36.66159	40.10406	34.69670	89.63837	6.49783	29.19232	34.52406
2018-05-05 10:15:00	8630330696303481875	0.00000	6.41311	11.62046	7.30078	10.45508	14.04925	10.06225	11.59615	45.98118	0.03633	76.22058	54.14659	49.67318	41.15929	47.61236	35.69812	38.50890	73.09839	75.04247	42.39698	74.08355
2018-05-05 10:16:00	8630330696303481065	1.00000	9.29991	8.37927	9.16854	12.42574	11.67970	4.77076	11.80915	68.62469	0.00185	44.21401	43.77005	58.29000	36.59365	20.23703	28.84431	11.42335	11.27401	93.69136	74.79818	57.30660
2018-05-05 10:17:00	3590433799317661669	0.00000	12.36608	10.32645	4.91568	9.45359	13.24582	13.77056	5.83499	29.93708	0.00991	59.50444	52.24965	28.09110	56.53601	91.32131	33.68648	24.53357	44.30364	69.39164	46.28075	62.50917
2018-05-05 10:18:00	8630330696303481628	0.00000	9.85366	13.17804	5.37580	10.72948	12.67665	9.72600	5.10288	55.08595	0.17172	51.12882	76.60438	9.15977	5.83727	31.14563	41.64134	4.51555	70.20377	35.71341	23.87135	84.63461
2018-05-05 10:19:00	3590433799317661537	1.00000	13.04433	12.33981	9.42306	7.37268	11.11759	12.63793	7.37178	44.56474	0.07454	50.74090	41.84274	39.60084	85.61876	67.02657	32.36634	56.93370	99.69446	97.13034	60.69525	68.79360
2018-05-05 10:20:00	8630330696303481602	0.00000	12.18170	11.23973	8.18355	9.01072	15.53097	10.34979	8.28869	35.51012	0.02541	78.18109	60.40438	47.95853	59.08561	23.29671	26.03811	24.20014	40.07456	24.06200	92.53570	31.35860
2018-05-05 10:21:00	863033069630348610	1.00000	10.24038	8.59892	9.04572	10.23868	10.72259	7.73642	13.06019	53.98847	0.00219	53.58938	27.64785	57.23253	71.65221	0.77828	80.73612	53.11327	90.76885	23.42336	7.34860	72.60572
2018-05-05 10:22:00	863033069630348115	1.00000	8.65829	10.84536	4.93631	15.14040	10.57201	9.21747	11.47799	63.07344	0.01714	42.88493	73.10182	35.95743	3.93883	77.97700	78.17418	77.42973	6.16906	91.47985	59.50646	38.74406
2018-05-05 10:23:00	8630330696303481339	1.00000	10.12931	8.09661	8.60931	9.48655	9.75269	5.17423	13.68453	61.21877	0.00127	54.52608	48.75252	34.30691	90.81053	24.65331	8.49327	0.73624	80.27920	36.62419	25.90561	77.21615
2018-05-05 10:24:00	8630330696303481859	1.00000	10.07380	6.92220	11.75775	9.05284	13.71004	9.47732	10.79668	40.92358	0.00071	52.61404	37.40420	45.50105	0.09007	95.32269	57.07465	79.79764	28.46845	74.48969	11.80260	26.85527
2018-05-05 10:25:00	3590433799317661925	1.00000	9.93158	6.98693	10.18327	9.21218	11.16243	9.93573	13.57465	70.22400	0.00064	52.01664	63.27622	52.43275	47.14580	7.61725	91.74914	75.70314	10.23680	5.93780	53.93408	84.87965
