c.katana,c.dogalize,c.android.youtube,c.android.chrome,c.android.gm,c.raider,c.UCMobile.x86,c.updateassist,c.UCMobile.intl,c.android.vending,p.system,p.android.gm,p.android.settings,p.android.chrome,p.android.packageinstaller,p.android.documentsui,p.android.externalstorage,p.android.vending,p.olauncher,p.android.defcontainer,p.dogalize,p.browser.provider,p.notifier,p.gms.persistent,p.inputmethod.latin,p.katana,p.google,p.process.gapps,p.android.gms,p.simulator
14.90241,10.34262,9.22497,5.65142,13.01335,33.23851,91.43262,0.88082,21.66211,54.56698,11.48425,10.31415,9.8932,5.73223,13.62118,9.43028,8.59601,52.0819,0.01025,48.25094,40.785,62.82935,43.26368,70.67986,69.68555,58.37678,22.7546,76.41589,11.24086,92.87528
12.66013,12.00156,12.29584,12.65544,10.72664,64.12353,10.79346,49.22327,15.48986,25.73042,11.64272,14.78216,4.96089,5.27688,9.78706,12.51975,8.26905,41.3767,0.85365,55.39114,27.46949,59.67511,40.46717,84.31125,4.19412,63.95712,81.22541,55.35139,85.79009,76.7787
10.12649,12.38981,9.46755,7.83484,12.0394,41.64801,10.64022,19.84683,17.91267,2.21807,7.86426,8.04323,8.97657,11.0525,11.8326,9.13596,11.4806,46.45357,0.00139,67.71598,51.02863,52.22625,71.46877,22.80997,53.52762,22.23002,89.25262,42.55475,66.1125,90.08142
11.68003,11.61279,12.48607,12.15799,12.87199,59.14107,54.98446,81.2939,96.72017,23.34095,8.95339,9.95372,12.49473,7.49294,13.73084,10.28735,9.71915,42.19123,0.00737,71.37457,46.43688,54.96757,56.69056,46.81213,38.81607,16.65383,46.3704,68.88051,62.64753,27.88345
8.13586,11.68595,7.86457,6.45832,11.6711,51.56264,60.42559,34.85393,90.00335,27.25991,8.80661,8.02109,8.06749,12.8361,10.62764,8.45106,12.34978,56.21342,0.00133,62.07296,55.52757,42.40746,88.01046,42.07984,32.43427,29.61109,98.95044,29.31263,92.49016,20.06372
6.91567,12.29407,10.29673,7.49347,11.91487,46.54369,40.57244,48.80236,23.03635,89.10406,9.0766,7.60703,5.95339,11.05957,7.83016,4.91789,13.12825,53.95683,0.00096,40.19637,50.0261,32.86854,73.3286,60.70723,9.38504,43.42844,37.93188,31.35076,76.24201,57.68105
10.45141,8.22715,12.39537,13.47752,5.21899,56.20026,78.56424,95.1157,32.2335,85.29783,15.7439,6.68304,9.59489,9.45107,14.88813,12.20969,9.18711,35.14357,0.0005,52.84324,37.55793,52.32724,45.82497,31.84646,28.6124,80.43776,54.7201,90.37201,86.75833,51.68905
13.05253,10.3768,11.57279,13.59326,16.32757,55.26458,6.20251,73.87529,24.6488,87.27856,7.83038,8.31707,12.31224,9.89278,12.68517,9.14527,8.28331,61.74975,0.00149,62.24062,36.94108,49.94105,36.57892,98.03898,79.64177,83.34944,77.15787,40.66932,9.56116,90.6818
9.47115,14.0087,8.15643,8.1756,10.82395,50.78938,25.64767,31.06261,89.32622,20.80361,10.64695,8.08645,5.10924,15.42119,12.90504,9.36303,10.73093,49.20608,0.00156,49.4528,55.35945,43.81361,40.43492,3.50905,16.42219,93.6245,11.83254,66.32841,14.95302,66.28384
6.71892,10.56849,8.9856,8.42242,14.29577,40.79517,39.35572,92.1982,89.77177,92.97109,8.04422,4.67432,7.83489,12.59736,10.20434,6.04491,8.3962,29.42458,0.00048,61.5838,44.51385,23.32423,15.99028,95.29699,90.94743,13.78947,90.49789,5.18679,19.55418,88.83942
11.94909,14.42357,9.62708,7.2701,8.78124,65.09684,53.84881,1.72302,48.48158,5.53748,8.19551,10.94022,5.67354,9.66977,11.14081,13.54725,13.84938,48.46047,0.01852,72.12736,56.99293,54.14765,90.95289,95.06712,91.09557,16.39185,19.69445,65.88393,35.60871,14.62835
8.11506,10.69359,8.55323,8.18014,12.27966,55.06289,60.799,11.36379,41.88102,71.00641,9.48295,9.53861,9.379,11.12367,11.70561,9.3868,13.34654,24.33447,0.00513,57.46525,44.83742,36.80459,37.81253,26.88151,3.70604,24.54411,15.74787,30.52255,87.77142,44.41059
10.41979,12.9893,12.95412,11.87297,9.92162,33.75773,43.03734,44.67333,86.54851,84.6189,11.91744,5.47214,13.77384,7.11824,13.36522,6.837,8.50906,57.1697,0.00012,39.76538,37.46429,38.60002,92.97224,87.39549,62.17648,61.46182,39.48033,67.65841,12.13137,35.11537
